RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0006253			ODAKOFOI_05170			
OG0006254		KMPKMMIG_01685, KMPKMMIG_03295	ODAKOFOI_01631			
OG0006255				NLBLAPBN_03493		
OG0006256				NLBLAPBN_03494		
OG0006257	FBBKCKAA_02146			NLBLAPBN_03532		
OG0006258	FBBKCKAA_02145			NLBLAPBN_03533		
OG0006259					AGNHPPFD_03917	
OG0006260				NLBLAPBN_04801		
OG0006261		KMPKMMIG_03410	ODAKOFOI_02996			
OG0006262				NLBLAPBN_05246		
OG0006263				NLBLAPBN_05512		
OG0006264						JLCECJFP_01734
OG0006265						JLCECJFP_03645
OG0006266						JLCECJFP_03641
OG0006267						JLCECJFP_03631
OG0006268						JLCECJFP_01707
OG0006269						JLCECJFP_01720
OG0006270				NLBLAPBN_01476		
OG0006271						
OG0006272				NLBLAPBN_03077		
OG0006273			ODAKOFOI_02296			
OG0006274				NLBLAPBN_03537	AGNHPPFD_02771	
OG0006275	FBBKCKAA_04336				AGNHPPFD_00510	
OG0006276				NLBLAPBN_00155	AGNHPPFD_01598	
OG0006277		KMPKMMIG_02413	ODAKOFOI_00042		AGNHPPFD_02185	
OG0006278				NLBLAPBN_04814	AGNHPPFD_02877	
OG0006279			ODAKOFOI_03233	NLBLAPBN_00275	AGNHPPFD_03034	
OG0006280					AGNHPPFD_03380	
OG0006281					AGNHPPFD_03518	JLCECJFP_01334
OG0006282				NLBLAPBN_02380	AGNHPPFD_04138	
OG0006283		KMPKMMIG_02642, KMPKMMIG_02643			AGNHPPFD_04626	
OG0006284	FBBKCKAA_00425				AGNHPPFD_05011	
OG0006285				NLBLAPBN_02694	AGNHPPFD_05021	
OG0006286		KMPKMMIG_04785				
OG0006287				NLBLAPBN_03066		
OG0006288				NLBLAPBN_03065		
OG0006289						JLCECJFP_01177
OG0006290		KMPKMMIG_01581				
OG0006291						
OG0006292				NLBLAPBN_02313		
OG0006293	FBBKCKAA_03573	KMPKMMIG_01230				
OG0006294		KMPKMMIG_01289				
OG0006295		KMPKMMIG_02396	ODAKOFOI_00504			
OG0006296			ODAKOFOI_00364	NLBLAPBN_02462		
OG0006297	FBBKCKAA_01812					
OG0006298						
OG0006299			ODAKOFOI_02298			
OG0006300			ODAKOFOI_02297			
OG0006301			ODAKOFOI_02295			
OG0006302			ODAKOFOI_02290			
OG0006303			ODAKOFOI_02279			
OG0006304	FBBKCKAA_00534	KMPKMMIG_02758				
OG0006305		KMPKMMIG_02717	ODAKOFOI_00688			
OG0006306				NLBLAPBN_03757		
OG0006307		KMPKMMIG_04075		NLBLAPBN_03722		
OG0006308	FBBKCKAA_02221			NLBLAPBN_02309		
OG0006309				NLBLAPBN_02146		
OG0006310						JLCECJFP_01721
OG0006311						JLCECJFP_02872
OG0006312				NLBLAPBN_04573		
OG0006313						JLCECJFP_01175
OG0006314				NLBLAPBN_01954		
OG0006315						JLCECJFP_02662
OG0006316	FBBKCKAA_00451		ODAKOFOI_05385			
OG0006317						JLCECJFP_02957
OG0006318						JLCECJFP_02956
OG0006319						JLCECJFP_02954
OG0006320						
OG0006321						
OG0006322						
OG0006323	FBBKCKAA_02580		ODAKOFOI_04474			
OG0006324	FBBKCKAA_02574		ODAKOFOI_04468			
OG0006325						JLCECJFP_00366
OG0006326						
OG0006327						JLCECJFP_02836
OG0006328			ODAKOFOI_03534			
OG0006329						
OG0006330						
OG0006331		KMPKMMIG_03562				
OG0006332		KMPKMMIG_01606				JLCECJFP_03037
OG0006333						JLCECJFP_04910
OG0006334						
OG0006335		KMPKMMIG_04784				
OG0006336	FBBKCKAA_04322	KMPKMMIG_02428				
OG0006337	FBBKCKAA_04318	KMPKMMIG_02424				
OG0006338	FBBKCKAA_02581		ODAKOFOI_04476			
OG0006339			ODAKOFOI_03535			
OG0006340			ODAKOFOI_03531			
OG0006341			ODAKOFOI_03532			
OG0006342						
OG0006343			ODAKOFOI_03528, ODAKOFOI_05184			
OG0006344						JLCECJFP_01730
OG0006345						JLCECJFP_04015
OG0006346	FBBKCKAA_02929					JLCECJFP_02832
OG0006347			ODAKOFOI_04484			JLCECJFP_02064
OG0006348						JLCECJFP_00702
OG0006349						JLCECJFP_00703
OG0006350						JLCECJFP_00704
OG0006351						JLCECJFP_05183
OG0006352						JLCECJFP_05181
OG0006353						JLCECJFP_00948
OG0006354						JLCECJFP_02440
OG0006355						JLCECJFP_04056
OG0006356						JLCECJFP_04055
OG0006357						JLCECJFP_04054
OG0006358						JLCECJFP_03221
OG0006359						JLCECJFP_04285
OG0006360						JLCECJFP_02771
OG0006361						JLCECJFP_02795
OG0006362						JLCECJFP_02803
OG0006363						JLCECJFP_01184
OG0006364						JLCECJFP_01186
OG0006365						JLCECJFP_03634
OG0006366						JLCECJFP_03286
OG0006367						JLCECJFP_03288
OG0006368						JLCECJFP_03289
OG0006369						JLCECJFP_03291
OG0006370						JLCECJFP_01270
OG0006371						JLCECJFP_01360
OG0006372						JLCECJFP_01366
OG0006373						JLCECJFP_02981
OG0006374						JLCECJFP_02987
OG0006375						JLCECJFP_05097
OG0006376						JLCECJFP_05098
OG0006377						JLCECJFP_05101
OG0006378						JLCECJFP_05102
OG0006379						JLCECJFP_03998
OG0006380						JLCECJFP_04978
OG0006381						JLCECJFP_01792
OG0006382						JLCECJFP_01791
OG0006383						JLCECJFP_01786
OG0006384						JLCECJFP_01785
OG0006385						JLCECJFP_01784
OG0006386						JLCECJFP_01775
OG0006387						JLCECJFP_01662
OG0006388						JLCECJFP_00460
OG0006389						JLCECJFP_03638
OG0006390						JLCECJFP_03635
OG0006391						JLCECJFP_03630
OG0006392						JLCECJFP_02402
OG0006393						JLCECJFP_02391
OG0006394						JLCECJFP_03006
OG0006395						JLCECJFP_03007
OG0006396						JLCECJFP_03008
OG0006397						JLCECJFP_03016
OG0006398						JLCECJFP_03018
OG0006399						JLCECJFP_03019
OG0006400						JLCECJFP_03021
OG0006401						JLCECJFP_03030
OG0006402						JLCECJFP_04385
OG0006403						JLCECJFP_04393
OG0006404						JLCECJFP_01617
OG0006405						JLCECJFP_04358
OG0006406						JLCECJFP_03900
OG0006407						JLCECJFP_05064
OG0006408						JLCECJFP_04962
OG0006409						JLCECJFP_04961
OG0006410						JLCECJFP_02919
OG0006411						JLCECJFP_04556
OG0006412						JLCECJFP_04557
OG0006413						JLCECJFP_04558
OG0006414						JLCECJFP_04561
OG0006415						JLCECJFP_03851
OG0006416						JLCECJFP_04832
OG0006417						JLCECJFP_04836
OG0006418						JLCECJFP_04937
OG0006419						JLCECJFP_04938
OG0006420						JLCECJFP_04939
OG0006421						JLCECJFP_04940
OG0006422						JLCECJFP_04941
OG0006423						JLCECJFP_04482
OG0006424						JLCECJFP_04479
OG0006425		KMPKMMIG_00946			AGNHPPFD_00129	
OG0006426						
OG0006427					AGNHPPFD_00189	
OG0006428					AGNHPPFD_00190	
OG0006429		KMPKMMIG_05570				
OG0006430					AGNHPPFD_01463	
OG0006431			ODAKOFOI_03251			
OG0006432				NLBLAPBN_04788		
OG0006433					AGNHPPFD_00912	
OG0006434				NLBLAPBN_02904	AGNHPPFD_02775	
OG0006435		KMPKMMIG_03059				
OG0006436		KMPKMMIG_03060				
OG0006437				NLBLAPBN_03561	AGNHPPFD_01736	
OG0006438					AGNHPPFD_01777	
OG0006439	FBBKCKAA_04942					
OG0006440		KMPKMMIG_00451			AGNHPPFD_04071	
OG0006441		KMPKMMIG_00450			AGNHPPFD_04072	
OG0006442		KMPKMMIG_04241			AGNHPPFD_02556	
OG0006443	FBBKCKAA_00951		ODAKOFOI_00080		AGNHPPFD_02632	
OG0006444	FBBKCKAA_00952		ODAKOFOI_00081		AGNHPPFD_02633	
OG0006445	FBBKCKAA_02643					
OG0006446		KMPKMMIG_04246	ODAKOFOI_00182			
OG0006447		KMPKMMIG_04108			AGNHPPFD_00766	
OG0006448	FBBKCKAA_04668		ODAKOFOI_00581			
OG0006449		KMPKMMIG_02738				
OG0006450					AGNHPPFD_03264	
OG0006451				NLBLAPBN_03618		
OG0006452					AGNHPPFD_00834	
OG0006453	FBBKCKAA_01142					
OG0006454					AGNHPPFD_03054	
OG0006455					AGNHPPFD_03053	
OG0006456					AGNHPPFD_03051	
OG0006457					AGNHPPFD_03049	
OG0006458		KMPKMMIG_00346, KMPKMMIG_05428				
OG0006459		KMPKMMIG_00345				
OG0006460					AGNHPPFD_05094	
OG0006461	FBBKCKAA_01464		ODAKOFOI_02555			
OG0006462		KMPKMMIG_04863	ODAKOFOI_05128		AGNHPPFD_05259	
OG0006463				NLBLAPBN_04987	AGNHPPFD_00347	
OG0006464						
OG0006465				NLBLAPBN_00270		
OG0006466				NLBLAPBN_00271		
OG0006467				NLBLAPBN_00272		
OG0006468				NLBLAPBN_01073, NLBLAPBN_01074		
OG0006469				NLBLAPBN_01135		
OG0006470						JLCECJFP_01710
OG0006471		KMPKMMIG_02259				
OG0006472	FBBKCKAA_02842		ODAKOFOI_00582			
OG0006473						
OG0006474						JLCECJFP_02491
OG0006475						JLCECJFP_01735
OG0006476						JLCECJFP_03637
OG0006477						
OG0006478	FBBKCKAA_01273					
OG0006479		KMPKMMIG_01286			AGNHPPFD_00175	
OG0006480						
OG0006481				NLBLAPBN_02632	AGNHPPFD_03549	
OG0006482						
OG0006483				NLBLAPBN_03523		
OG0006484			ODAKOFOI_00909			
OG0006485				NLBLAPBN_03955		
OG0006486						
OG0006487						JLCECJFP_03959
OG0006488					AGNHPPFD_00540	
OG0006489				NLBLAPBN_04800	AGNHPPFD_00826	
OG0006490				NLBLAPBN_04798	AGNHPPFD_00828	
OG0006491			ODAKOFOI_00776		AGNHPPFD_02286	
OG0006492				NLBLAPBN_03456	AGNHPPFD_02617	
OG0006493			ODAKOFOI_03232	NLBLAPBN_00274	AGNHPPFD_03033	
OG0006494			ODAKOFOI_03234	NLBLAPBN_00276	AGNHPPFD_03035	
OG0006495			ODAKOFOI_03235	NLBLAPBN_00277	AGNHPPFD_03036	
OG0006496			ODAKOFOI_03236	NLBLAPBN_00278	AGNHPPFD_03037	
OG0006497			ODAKOFOI_03237	NLBLAPBN_00279	AGNHPPFD_03038	
OG0006498			ODAKOFOI_03238	NLBLAPBN_00280	AGNHPPFD_03039	
OG0006499					AGNHPPFD_03680	
OG0006500					AGNHPPFD_03826	
OG0006501					AGNHPPFD_03853	JLCECJFP_02865
OG0006502		KMPKMMIG_02438			AGNHPPFD_03934, AGNHPPFD_03937	
OG0006503				NLBLAPBN_02381	AGNHPPFD_04139	
OG0006504				NLBLAPBN_02382	AGNHPPFD_04140	
OG0006505		KMPKMMIG_00263			AGNHPPFD_04195	
OG0006506					AGNHPPFD_04988	JLCECJFP_03067
OG0006507				NLBLAPBN_02695	AGNHPPFD_05022	
OG0006508				NLBLAPBN_02696	AGNHPPFD_05023	
OG0006509						
OG0006510		KMPKMMIG_01576				
OG0006511		KMPKMMIG_01577				
OG0006512		KMPKMMIG_01578				
OG0006513		KMPKMMIG_01582				
OG0006514						JLCECJFP_00180
OG0006515				NLBLAPBN_02583		
OG0006516		KMPKMMIG_03848				
OG0006517						
OG0006518	FBBKCKAA_01169					
OG0006519			ODAKOFOI_02292			
OG0006520			ODAKOFOI_02291			
OG0006521			ODAKOFOI_02288			
OG0006522			ODAKOFOI_02287			
OG0006523			ODAKOFOI_02280			
OG0006524				NLBLAPBN_02565		
OG0006525	FBBKCKAA_02898		ODAKOFOI_02792			
OG0006526				NLBLAPBN_02311		
OG0006527			ODAKOFOI_03498	NLBLAPBN_03112		
OG0006528		KMPKMMIG_04058		NLBLAPBN_03105		
OG0006529						JLCECJFP_02542
OG0006530						JLCECJFP_04008
OG0006531						
OG0006532						
OG0006533			ODAKOFOI_00234			
OG0006534						
OG0006535		KMPKMMIG_03821				
OG0006536		KMPKMMIG_04758				
OG0006537		KMPKMMIG_04759				
OG0006538		KMPKMMIG_05642	ODAKOFOI_00341			
OG0006539		KMPKMMIG_01952				
OG0006540		KMPKMMIG_01951				
OG0006541		KMPKMMIG_01950				
OG0006542						JLCECJFP_03633
OG0006543			ODAKOFOI_03561			
OG0006544						JLCECJFP_03647
OG0006545						JLCECJFP_03644
OG0006546						JLCECJFP_03643
OG0006547		KMPKMMIG_01495	ODAKOFOI_04373			
OG0006548		KMPKMMIG_02203				
OG0006549		KMPKMMIG_03925				
OG0006550		KMPKMMIG_04787				
OG0006551		KMPKMMIG_04786				
OG0006552	FBBKCKAA_04321	KMPKMMIG_02427				
OG0006553	FBBKCKAA_04319	KMPKMMIG_02425				
OG0006554				NLBLAPBN_05281		
OG0006555			ODAKOFOI_03524			
OG0006556			ODAKOFOI_03523			
OG0006557			ODAKOFOI_03512			
OG0006558			ODAKOFOI_03250			JLCECJFP_01171
OG0006559			ODAKOFOI_03553			
OG0006560			ODAKOFOI_03552			
OG0006561			ODAKOFOI_03551			
OG0006562			ODAKOFOI_03549			
OG0006563			ODAKOFOI_03548			
OG0006564			ODAKOFOI_03529			
OG0006565			ODAKOFOI_03530			
OG0006566			ODAKOFOI_03533			
OG0006567			ODAKOFOI_01760			
OG0006568			ODAKOFOI_01761			
OG0006569			ODAKOFOI_01764, ODAKOFOI_05006			
OG0006570	FBBKCKAA_00450					
OG0006571	FBBKCKAA_00449					
OG0006572						JLCECJFP_01698
OG0006573						JLCECJFP_02851
OG0006574						JLCECJFP_02850
OG0006575						JLCECJFP_02380
OG0006576						JLCECJFP_02346
OG0006577	FBBKCKAA_01255					JLCECJFP_02826
OG0006578	FBBKCKAA_00484					JLCECJFP_01906
OG0006579						JLCECJFP_00882
OG0006580						JLCECJFP_03275
OG0006581						JLCECJFP_03276
OG0006582						JLCECJFP_03280
OG0006583						JLCECJFP_03281
OG0006584						JLCECJFP_02959
OG0006585						JLCECJFP_02958
OG0006586						JLCECJFP_04844
OG0006587						JLCECJFP_04908
OG0006588						JLCECJFP_04909
OG0006589						JLCECJFP_04911
OG0006590						JLCECJFP_04912
OG0006591						JLCECJFP_04913
OG0006592						JLCECJFP_04914
OG0006593					AGNHPPFD_00188	
OG0006594					AGNHPPFD_01147	
OG0006595		KMPKMMIG_05040				
OG0006596		KMPKMMIG_03840			AGNHPPFD_02378	
OG0006597		KMPKMMIG_03843			AGNHPPFD_02383	
OG0006598		KMPKMMIG_03844			AGNHPPFD_02384	
OG0006599	FBBKCKAA_02223				AGNHPPFD_02394	
OG0006600	FBBKCKAA_04988		ODAKOFOI_03941			
OG0006601			ODAKOFOI_03723			
OG0006602					AGNHPPFD_03040	
OG0006603		KMPKMMIG_02437	ODAKOFOI_01528			
OG0006604		KMPKMMIG_00390	ODAKOFOI_03983			
OG0006605					AGNHPPFD_00228	
OG0006606				NLBLAPBN_03593		
OG0006607				NLBLAPBN_03617		
OG0006608				NLBLAPBN_03619		
OG0006609						
OG0006610				NLBLAPBN_03600		
OG0006611				NLBLAPBN_03736		
OG0006612						
OG0006613						JLCECJFP_01897
OG0006614		KMPKMMIG_01298			AGNHPPFD_03790	
OG0006615		KMPKMMIG_01309			AGNHPPFD_03796	
OG0006616						JLCECJFP_02933
OG0006617					AGNHPPFD_04375	
OG0006618		KMPKMMIG_02679			AGNHPPFD_04668	
OG0006619					AGNHPPFD_00271	
OG0006620						
OG0006621					AGNHPPFD_05092	
OG0006622					AGNHPPFD_05093	
OG0006623		KMPKMMIG_05180			AGNHPPFD_05101	
OG0006624			ODAKOFOI_04872		AGNHPPFD_05730	
OG0006625				NLBLAPBN_01995	AGNHPPFD_03833	
OG0006626				NLBLAPBN_02010		
OG0006627						
OG0006628			ODAKOFOI_01819	NLBLAPBN_02887		
OG0006629				NLBLAPBN_03563		
OG0006630				NLBLAPBN_03913		
OG0006631			ODAKOFOI_01412			
OG0006632			ODAKOFOI_01413			
OG0006633						
OG0006634						
OG0006635	FBBKCKAA_01238			NLBLAPBN_02022		
OG0006636						JLCECJFP_01708
OG0006637	FBBKCKAA_03102					
OG0006638						
OG0006639			ODAKOFOI_02339			
OG0006640				NLBLAPBN_02628		
OG0006641				NLBLAPBN_02347	AGNHPPFD_02661	
OG0006642				NLBLAPBN_01960		
OG0006643					AGNHPPFD_02048	JLCECJFP_02345
OG0006644				NLBLAPBN_04708		
OG0006645	FBBKCKAA_01638			NLBLAPBN_04299		
OG0006646	FBBKCKAA_04355		ODAKOFOI_00233			
OG0006647				NLBLAPBN_01955	AGNHPPFD_03933, AGNHPPFD_03936	
OG0006648					AGNHPPFD_02239	
OG0006649					AGNHPPFD_02766	
OG0006650		KMPKMMIG_02345			AGNHPPFD_02848	
OG0006651		KMPKMMIG_01562	ODAKOFOI_05040		AGNHPPFD_03084	
OG0006652		KMPKMMIG_01560	ODAKOFOI_05042		AGNHPPFD_03086	
OG0006653		KMPKMMIG_03969			AGNHPPFD_03379	
OG0006654			ODAKOFOI_00536		AGNHPPFD_03675	
OG0006655	FBBKCKAA_01234				AGNHPPFD_03882	
OG0006656		KMPKMMIG_02439			AGNHPPFD_03938	
OG0006657		KMPKMMIG_02440			AGNHPPFD_03939	
OG0006658				NLBLAPBN_02378	AGNHPPFD_04136	
OG0006659		KMPKMMIG_00262			AGNHPPFD_04194	
OG0006660					AGNHPPFD_04955	
OG0006661					AGNHPPFD_05000	
OG0006662		KMPKMMIG_02250			AGNHPPFD_05013	
OG0006663	FBBKCKAA_03667		ODAKOFOI_04524		AGNHPPFD_05045	
OG0006664			ODAKOFOI_04679		AGNHPPFD_05159	
OG0006665	FBBKCKAA_00709	KMPKMMIG_00462, KMPKMMIG_04763			AGNHPPFD_05728	
OG0006666		KMPKMMIG_04037			AGNHPPFD_05803	
OG0006667				NLBLAPBN_04040		
OG0006668				NLBLAPBN_01571		JLCECJFP_03063
OG0006669		KMPKMMIG_01579				
OG0006670				NLBLAPBN_04043		
OG0006671						JLCECJFP_01753
OG0006672						
OG0006673		KMPKMMIG_00477, KMPKMMIG_02751	ODAKOFOI_00818			
OG0006674	FBBKCKAA_02351					
OG0006675	FBBKCKAA_02350					
OG0006676	FBBKCKAA_02348					
OG0006677			ODAKOFOI_02286			
OG0006678			ODAKOFOI_02282			
OG0006679			ODAKOFOI_02281			
OG0006680		KMPKMMIG_05664	ODAKOFOI_00226			
OG0006681				NLBLAPBN_02312		
OG0006682				NLBLAPBN_02298		
OG0006683						
OG0006684						JLCECJFP_00560
OG0006685				NLBLAPBN_02853		
OG0006686						
OG0006687				NLBLAPBN_01623		
OG0006688			ODAKOFOI_05028	NLBLAPBN_03731		
OG0006689			ODAKOFOI_00086	NLBLAPBN_02927		
OG0006690			ODAKOFOI_00173	NLBLAPBN_01006		
OG0006691				NLBLAPBN_02209		
OG0006692				NLBLAPBN_00054		
OG0006693				NLBLAPBN_02588		
OG0006694				NLBLAPBN_03627		
OG0006695			ODAKOFOI_00273	NLBLAPBN_02376		
OG0006696						JLCECJFP_02061
OG0006697	FBBKCKAA_04728		ODAKOFOI_00905, ODAKOFOI_02337			
OG0006698	FBBKCKAA_04384					
OG0006699	FBBKCKAA_02212, FBBKCKAA_02313					
OG0006700						JLCECJFP_01187
OG0006701	FBBKCKAA_00468					
OG0006702						JLCECJFP_02761
OG0006703	FBBKCKAA_00964, FBBKCKAA_02371		ODAKOFOI_04603			
OG0006704	FBBKCKAA_00963, FBBKCKAA_02372		ODAKOFOI_04602			
OG0006705						JLCECJFP_00177
OG0006706						
OG0006707			ODAKOFOI_04969			
OG0006708		KMPKMMIG_04475	ODAKOFOI_04113			
OG0006709		KMPKMMIG_02326	ODAKOFOI_00739			
OG0006710		KMPKMMIG_02317	ODAKOFOI_00734			
OG0006711			ODAKOFOI_01420			
OG0006712		KMPKMMIG_04219	ODAKOFOI_00753			
OG0006713		KMPKMMIG_05722	ODAKOFOI_01782			
OG0006714		KMPKMMIG_05486	ODAKOFOI_00545			
OG0006715	FBBKCKAA_00196					
OG0006716						JLCECJFP_00169
OG0006717		KMPKMMIG_03972	ODAKOFOI_00624			
OG0006718		KMPKMMIG_03973	ODAKOFOI_00625			
OG0006719		KMPKMMIG_02214				
OG0006720		KMPKMMIG_01956				
OG0006721		KMPKMMIG_01954				
OG0006722		KMPKMMIG_04095	ODAKOFOI_03632			
OG0006723						
OG0006724						
OG0006725				NLBLAPBN_02713		
OG0006726				NLBLAPBN_02712		
OG0006727						JLCECJFP_02861
OG0006728				NLBLAPBN_05280		
OG0006729						
OG0006730			ODAKOFOI_03495			
OG0006731			ODAKOFOI_03494			
OG0006732			ODAKOFOI_03536			
OG0006733			ODAKOFOI_03538			
OG0006734			ODAKOFOI_03539			
OG0006735			ODAKOFOI_03540			
OG0006736			ODAKOFOI_03541			
OG0006737			ODAKOFOI_03542			
OG0006738			ODAKOFOI_03543			
OG0006739			ODAKOFOI_03544			
OG0006740			ODAKOFOI_03545			
OG0006741			ODAKOFOI_03546			
OG0006742			ODAKOFOI_00604, ODAKOFOI_01762			
OG0006743			ODAKOFOI_00623			
OG0006744			ODAKOFOI_00620, ODAKOFOI_01398			
OG0006745						JLCECJFP_04542
OG0006746	FBBKCKAA_01211					
OG0006747						JLCECJFP_04035
OG0006748						JLCECJFP_04003
OG0006749						JLCECJFP_01782
OG0006750		KMPKMMIG_01587				JLCECJFP_03058
OG0006751						JLCECJFP_01387
OG0006752						JLCECJFP_04434
OG0006753						JLCECJFP_02186
OG0006754			ODAKOFOI_05017			JLCECJFP_05226
OG0006755						JLCECJFP_02659
OG0006756						JLCECJFP_01180
OG0006757			ODAKOFOI_03243			JLCECJFP_00173
OG0006758						JLCECJFP_01762
OG0006759						JLCECJFP_01181
OG0006760						JLCECJFP_04859
OG0006761						JLCECJFP_01971
OG0006762						JLCECJFP_03632
OG0006763						JLCECJFP_03640
OG0006764						JLCECJFP_03642
OG0006765						JLCECJFP_03646
OG0006766						
OG0006767						
OG0006768		KMPKMMIG_05065				
OG0006769					AGNHPPFD_01508	
OG0006770				NLBLAPBN_02258		
OG0006771				NLBLAPBN_02259		
OG0006772						
OG0006773		KMPKMMIG_03841			AGNHPPFD_02379	
OG0006774			ODAKOFOI_01518			
OG0006775					AGNHPPFD_02594	
OG0006776						
OG0006777						
OG0006778	FBBKCKAA_00415				AGNHPPFD_03526	
OG0006779						
OG0006780			ODAKOFOI_01744		AGNHPPFD_03390	
OG0006781		KMPKMMIG_01489				
OG0006782						
OG0006783				NLBLAPBN_02909		
OG0006784						
OG0006785			ODAKOFOI_00467		AGNHPPFD_03904	
OG0006786						
OG0006787			ODAKOFOI_05196			
OG0006788					AGNHPPFD_02260, AGNHPPFD_03263	
OG0006789				NLBLAPBN_03620		
OG0006790				NLBLAPBN_03621		
OG0006791			ODAKOFOI_00132			
OG0006792					AGNHPPFD_04724	
OG0006793						
OG0006794		KMPKMMIG_00253				
OG0006795						
OG0006796						
OG0006797					AGNHPPFD_03923	
OG0006798						
OG0006799						JLCECJFP_02879
OG0006800		KMPKMMIG_01493	ODAKOFOI_00947			
OG0006801					AGNHPPFD_04402	
OG0006802						
OG0006803				NLBLAPBN_02730		
OG0006804						
OG0006805	FBBKCKAA_00943					
OG0006806					AGNHPPFD_02819	
OG0006807						
OG0006808						
OG0006809	FBBKCKAA_02142			NLBLAPBN_03536		
OG0006810		KMPKMMIG_04551				
OG0006811						
OG0006812	FBBKCKAA_04366		ODAKOFOI_04372			
OG0006813						JLCECJFP_01752
OG0006814				NLBLAPBN_01400		
OG0006815						
OG0006816				NLBLAPBN_04036		
OG0006817						
OG0006818						
OG0006819						
OG0006820						
OG0006821					AGNHPPFD_02770	
OG0006822				NLBLAPBN_02569		
OG0006823			ODAKOFOI_02197		AGNHPPFD_01449	
OG0006824				NLBLAPBN_01175	AGNHPPFD_01148	
OG0006825		KMPKMMIG_02509			AGNHPPFD_01467	
OG0006826					AGNHPPFD_01521	
OG0006827			ODAKOFOI_00715		AGNHPPFD_02426	
OG0006828		KMPKMMIG_02445			AGNHPPFD_02726	
OG0006829	FBBKCKAA_00193				AGNHPPFD_02774	
OG0006830		KMPKMMIG_01561	ODAKOFOI_05041		AGNHPPFD_03085	
OG0006831					AGNHPPFD_03476	
OG0006832		KMPKMMIG_01972			AGNHPPFD_03703	
OG0006833					AGNHPPFD_04109	
OG0006834					AGNHPPFD_05012	
OG0006835			ODAKOFOI_04680		AGNHPPFD_05158	
OG0006836			ODAKOFOI_04678		AGNHPPFD_05160	
OG0006837	FBBKCKAA_00710	KMPKMMIG_00463			AGNHPPFD_05727	
OG0006838					AGNHPPFD_05886	
OG0006839	FBBKCKAA_00536					
OG0006840						
OG0006841	FBBKCKAA_00872					
OG0006842						
OG0006843						
OG0006844						JLCECJFP_01751
OG0006845	FBBKCKAA_02394		ODAKOFOI_02336			
OG0006846			ODAKOFOI_00472, ODAKOFOI_01799			
OG0006847						
OG0006848				NLBLAPBN_02304		
OG0006849				NLBLAPBN_02303		
OG0006850				NLBLAPBN_02302		
OG0006851				NLBLAPBN_02301		
OG0006852				NLBLAPBN_02300		
OG0006853				NLBLAPBN_02299		
OG0006854			ODAKOFOI_03843			
OG0006855						
OG0006856				NLBLAPBN_02587		
OG0006857				NLBLAPBN_02585		
OG0006858				NLBLAPBN_02584		
OG0006859				NLBLAPBN_02944		
OG0006860			ODAKOFOI_01424	NLBLAPBN_02268		
OG0006861				NLBLAPBN_02591		
OG0006862				NLBLAPBN_03607		
OG0006863				NLBLAPBN_03608		
OG0006864				NLBLAPBN_03612		
OG0006865				NLBLAPBN_02314		
OG0006866				NLBLAPBN_01903		
OG0006867				NLBLAPBN_03313		
OG0006868				NLBLAPBN_02140		
OG0006869				NLBLAPBN_01844		
OG0006870						JLCECJFP_02877
OG0006871						JLCECJFP_01737
OG0006872	FBBKCKAA_03101	KMPKMMIG_04004				
OG0006873						
OG0006874						
OG0006875						
OG0006876						
OG0006877		KMPKMMIG_04760				
OG0006878			ODAKOFOI_01418			
OG0006879			ODAKOFOI_01419			
OG0006880						
OG0006881		KMPKMMIG_04330				
OG0006882		KMPKMMIG_04098	ODAKOFOI_03635			
OG0006883		KMPKMMIG_05643				
OG0006884						JLCECJFP_02932
OG0006885						JLCECJFP_01763
OG0006886						
OG0006887		KMPKMMIG_02984	ODAKOFOI_01464			
OG0006888		KMPKMMIG_01944				
OG0006889						JLCECJFP_03080
OG0006890				NLBLAPBN_02711		
OG0006891						JLCECJFP_01714
OG0006892				NLBLAPBN_01979		
OG0006893		KMPKMMIG_02906				JLCECJFP_03068
OG0006894		KMPKMMIG_02907				JLCECJFP_03069
OG0006895						JLCECJFP_02842
OG0006896						
OG0006897		KMPKMMIG_02921				
OG0006898						JLCECJFP_04865
OG0006899						
OG0006900			ODAKOFOI_03497			
OG0006901		KMPKMMIG_01256, KMPKMMIG_01283	ODAKOFOI_00705			
OG0006902			ODAKOFOI_03560			
OG0006903			ODAKOFOI_01759			
OG0006904						JLCECJFP_02834
OG0006905			ODAKOFOI_04617, ODAKOFOI_05008			
OG0006906						
OG0006907						JLCECJFP_04872
OG0006908			ODAKOFOI_03547, ODAKOFOI_03973			
OG0006909						JLCECJFP_01179
OG0006910						JLCECJFP_00829
OG0006911						JLCECJFP_05134
OG0006912						JLCECJFP_05080
OG0006913						JLCECJFP_04284
OG0006914						JLCECJFP_02583
OG0006915						JLCECJFP_02797
OG0006916						JLCECJFP_02802
OG0006917						JLCECJFP_01188
OG0006918						JLCECJFP_01227
OG0006919						JLCECJFP_01357
OG0006920						JLCECJFP_02281
OG0006921						JLCECJFP_04028
OG0006922						JLCECJFP_03078
OG0006923						JLCECJFP_03756
OG0006924						JLCECJFP_04785
OG0006925						JLCECJFP_02940
OG0006926						JLCECJFP_02935
OG0006927						JLCECJFP_01246
OG0006928						JLCECJFP_03839
OG0006929			ODAKOFOI_03249			JLCECJFP_01172
OG0006930						JLCECJFP_01716
